borough,neighborhood,building_class_category,tax_class_at_present,block,lot,ease_ment,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,40,NA,A1,551 OAKDALE STREET,NA,10312,1,0,1,10000,3904,1980,1,A1,0,45140,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396,41,NA,A1,21 TALLMAN STREET,NA,10312,1,0,1,9968,3940,1990,1,A1,1275000,45002,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,20,NA,A1,1468 ARDEN AVENUE,NA,10312,1,0,1,5000,2200,1940,1,A1,1050000,45083,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,42,NA,A2,265 HAROLD AVENUE,NA,10312,1,0,1,8190,2100,1980,1,A2,385000,44973,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,4,NA,A2,260 SHIRLEY AVENUE,NA,10312,1,0,1,7500,1600,1970,1,A2,0,45125,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,35,NA,A2,95 LENZIE STREET,NA,10312,1,0,1,7500,1328,1930,1,A2,743000,45117,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,21,NA,A1,1660 ARDEN AVENUE,NA,10312,1,0,1,5000,1680,1960,1,A1,640000,45026,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,29,NA,A1,1740 ARDEN AVENUE,NA,10312,1,0,1,4250,1052,1925,1,A1,440000,45097,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,42,NA,A1,27 SANDGAP STREET,NA,10312,1,0,1,5000,1950,1910,1,A1,840000,45047,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,15,NA,A2,16 SANDGAP STREET,NA,10312,1,0,1,2500,632,1952,1,A2,258400,45288,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,109,NA,A5,56 MAY PLACE,NA,10312,1,0,1,2475,2395,1986,1,A5,730000,45180,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,115,NA,A5,44 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,750000,45084,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,NA,A5,60 SEGUINE PLACE,NA,10312,1,0,1,1471,1172,1986,1,A5,0,45204,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,1,NA,A5,39 EAGAN AVENUE,NA,10312,1,0,1,2600,1825,1986,1,A5,0,45286,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,34,NA,A5,100 SEGUINE PLACE,NA,10312,1,0,1,1550,1521,1986,1,A5,15000,44970,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,32,NA,A5,18 LUCY LOOP,NA,10312,1,0,1,2320,1500,2000,1,A5,0,45028,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,172,NA,A1,73 JEANETTE AVENUE,NA,10312,1,0,1,4500,1908,1965,1,A1,860000,45275,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,172,NA,A1,73 JEANNETTE AVENUE,NA,10312,1,0,1,4500,1908,1965,1,A1,600000,45119,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,16,NA,A5,94 LORRAIN AVE,NA,10312,1,0,1,1650,1700,2004,1,A5,300000,45121,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,30,NA,A5,18 LORRAINE AVENUE,NA,10312,1,0,1,16541,1344,2002,1,A5,700000,44992,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,38,NA,A5,45 LORRAINE AVENUE,NA,10312,1,0,1,2400,1500,2004,1,A5,670000,45012,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227,59,NA,A1,920 CARLTON BOULEVARD,NA,10312,1,0,1,4000,1272,1930,1,A1,720000,44931,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,25,NA,A0,158 EDGEGROVE AVENUE,NA,10312,1,0,1,4000,938,1950,1,A0,0,45028,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,27,NA,A1,154 EDGEGROVE AVENUE,NA,10312,1,0,1,8000,1915,1935,1,A1,0,45028,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,61,NA,A2,147 DETROIT AVENUE,NA,10312,1,0,1,8000,840,1920,1,A2,0,45028,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,33,NA,A2,634 DRUMGOOLE ROAD EAST,NA,10312,1,0,1,8000,1056,1930,1,A2,450000,45105,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,35,NA,A1,630 DRUMGOOLE ROAD EAST,NA,10312,1,0,1,8000,2460,1960,1,A1,0,45210,2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6235,50,NA,A1,185 SHELDON AVE,NA,10312,1,0,1,6000,2024,1960,1,A1,0,45140,2023
