borough,neighborhood,building_class_category,tax_class_as_of_final_roll_17_18,block,lot,ease_ment,building_class_as_of_final_roll_17_18,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,19,NA,A1,4 EDWIN STREET,NA,10312,1,0,1,7258,2230,1980,1,A1,866000,42950,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,10,NA,A2,112 ELMBANK STREET,NA,10312,1,0,1,6242,1768,1975,1,A2,735000,43046,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,39,NA,A2,193 BATHGATE STREET,NA,10312,1,0,1,5000,808,1920,1,A2,350000,42933,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,32,NA,A6,3 OCEAN DRIVEWAY,NA,10312,1,0,1,2500,540,1910,1,A6,0,42889,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,15,NA,A5,95 EAGAN AVENUE,NA,10312,1,0,1,1546,1579,1986,1,A5,475000,42985,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,22,NA,A5,83 EAGAN AVENUE,NA,10312,1,0,1,1546,1579,1986,1,A5,437500,42885,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,58,NA,A5,32 SEGUINE PLACE,NA,10312,1,0,1,1471,1068,1986,1,A5,0,42807,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6209,71,NA,A5,191 MOSELY AVENUE,NA,10312,1,0,1,2665,1592,2007,1,A5,0,42860,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,6,NA,A5,31 EAGAN AVENUE,NA,10312,1,0,1,1800,1825,1986,1,A5,354900,43082,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,14,NA,A5,19 EAGAN AVENUE,NA,10312,1,0,1,1508,1521,1986,1,A5,412000,42969,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,16,NA,A5,15 EAGAN AVENUE,NA,10312,1,0,1,2550,1825,1986,1,A5,250000,43089,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,34,NA,A5,100 SEGUINE PLACE,NA,10312,1,0,1,1550,1521,1986,1,A5,439000,42915,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,40,NA,A5,92 SEGUINE PLACE,NA,10312,1,0,1,1800,1320,1986,1,A5,300000,42916,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,40,NA,A5,92 SEGUINE PLACE,NA,10312,1,0,1,1800,1320,1986,1,A5,410000,43087,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,57,NA,A5,95 LORRAINE AVENUE,NA,10312,1,0,1,2400,1548,2005,1,A5,520000,42997,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,162,NA,A5,93 JEANNETTE AVENUE,NA,10312,1,0,1,2720,1734,2007,1,A5,600000,42878,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,12,NA,A2,143 FABIAN STREET,NA,10312,1,0,1,4300,2270,1965,1,A2,675000,42797,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,35,NA,A5,54 EAGAN AVENUE,NA,10312,1,0,1,2400,1368,2000,1,A5,0,42738,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,43,NA,A5,123 MOSELY AVENUE,NA,10312,1,0,1,2500,1472,2001,1,A5,0,42782,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,1,NA,A5,64 LORRAINE AVENUE,NA,10312,1,0,1,11830,1700,2004,1,A5,500,43048,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,6,NA,A5,68 LORRAINE AVENUE,NA,10312,1,0,1,2584,1700,2004,1,A5,507500,42748,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,19,NA,A5,59 ENDVIEW STREET,NA,10312,1,0,1,1759,1700,2004,1,A5,529000,42744,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,21,NA,A5,55 ENDVIEW STREET,NA,10312,1,0,1,1759,1700,2004,1,A5,540000,42877,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,7,NA,A5,61 BARB STREET,NA,10312,1,0,1,1585,1339,2004,1,A5,535000,42860,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,10,NA,A5,53 BARB STREET,NA,10312,1,0,1,1585,1339,2004,1,A5,520000,42809,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,21,NA,A5,29 BARB STREET,NA,10312,1,0,1,1485,1339,2004,1,A5,0,42741,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,50,NA,A5,12 ENDVIEW STREET,NA,10312,1,0,1,1648,1344,2003,1,A5,0,42806,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,59,NA,A5,32 ENDVIEW STREET,NA,10312,1,0,1,1648,1344,2003,1,A5,0,43055,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,65,NA,A5,46 ENDVIEW STREET,NA,10312,1,0,1,2678,1344,2003,1,A5,406369,42895,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,8,NA,A5,1000 ARDEN AVENUE,NA,10312,1,0,1,1595,1400,2005,1,A5,480000,43067,2017
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,46,NA,A5,45 JEANNETTE AVENUE,NA,10312,1,0,1,2400,1580,2004,1,A5,539900,42831,2017
