observation_date,NYPOP
1/1/2017,19593.849
1/1/2018,19544.098
1/1/2019,19463.131
1/1/2020,20105.171
1/1/2021,19848.276
1/1/2022,19703.747
1/1/2023,19737.367
1/1/2024,19867.248
