borough,neighborhood,building_class_category,tax_class_as_of_final_roll_18_19,block,lot,ease_ment,building_class_as_of_final_roll_18_19,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,13,NA,A5,4716 AMBOY ROAD,NA,10312,1,0,1,1871,910,2002,1,A5,0,43656,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5393,29,NA,A1,21 FINGAL STREET,NA,10312,1,0,1,9000,3540,1985,1,A1,1650000,43538,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,23,NA,A1,525 SYCAMORE STREET,NA,10312,1,0,1,10000,2848,1980,1,A1,775000,43812,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,20,NA,A1,1468 ARDEN AVENUE,NA,10312,1,0,1,5000,2200,1940,1,A1,685000,43570,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399,15,NA,A2,2 SANDBORN STREET,NA,10312,1,0,1,4845,880,1950,1,A2,0,43489,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399,33,NA,A2,247 KOCH BOULEVARD,NA,10312,1,0,1,7035,1528,1970,1,A2,0,43684,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5405,5,NA,A2,108 LENZIE STREET,NA,10312,1,0,1,5000,756,1920,1,A2,620000,43510,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5405,28,NA,A1,155 KINGHORN STREET,NA,10312,1,0,1,9000,4350,1899,1,A1,0,43525,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,39,NA,B2,193 BATHGATE STREET,NA,10312,2,0,2,5000,2800,2018,1,A2,1221900,43594,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,19,NA,A1,9 SANDGAP STREET,NA,10312,1,0,1,2500,1744,1950,1,A1,520000,43691,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,NA,A2,7 SANDGAP STREET,NA,10312,1,0,1,2500,624,1925,1,A2,0,43613,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,35,NA,A2,13 SANDGAP STREET,NA,10312,1,0,1,2500,400,1997,1,A2,0,43564,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,36,NA,A1,19 SANDGAP STREET,NA,10312,1,0,1,4800,1104,1915,1,A1,0,43564,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,20,NA,A1,1754 ARDEN AVENUE,NA,10312,1,0,1,2650,1800,1997,1,A1,650000,43570,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,29,NA,A5,69 EAGAN AVE,NA,10312,1,0,1,1546,1579,1986,1,A5,34000,43483,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,44,NA,A5,62 SEGUINE PLACE,NA,10312,1,0,1,1755,1373,1986,1,A5,430000,43738,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,55,NA,A5,36 SEGUINE PLACE,NA,10312,1,0,1,1471,1068,1986,1,A5,363000,43552,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,57,NA,A5,34 SEGUINE PLACE,NA,10312,1,0,1,1471,1068,1986,1,A5,370000,43734,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,111,NA,A5,52 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,609000,43532,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6209,17,NA,A5,208 SNEDEN AVENUE,NA,10312,1,0,1,1950,1592,2006,1,A5,0,43721,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,28,NA,A1,96 JEANNETTE AVENUE,NA,10312,1,0,1,5400,2376,1970,1,A1,685000,43641,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,87,NA,A2,1090 ARDEN AVENUE,NA,10312,1,0,1,4200,2352,1970,1,A2,444132,43535,2019
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,35,NA,A5,54 EAGAN AVENUE,NA,10312,1,0,1,2400,1368,2000,1,A5,0,43812,2019
