borough,neighborhood,building_class_category,tax_class_at_present,block,lot,ease_ment,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,8,NA,A1,18 EDWIN STREET,NA,10312,1,0,1,7000,1976,1980,1,A1,890000,45322,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,15,NA,A1,10 EDWIN STREET,NA,10312,1,0,1,7000,2200,1980,1,A1,950000,45351,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396,13,NA,A1,524 SYCAMORE STREET,NA,10312,1,0,1,10296,2975,1986,1,A1,1250000,45551,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396,41,NA,A1,21 TALLMAN STREET,NA,10312,1,0,1,9968,3940,1990,1,A1,0,45336,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,26,NA,A1,7 WEAVER STREET,NA,10312,1,0,1,10800,4743,1980,1,A1,1415000,45593,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,4,NA,A2,260 SHIRLEY AVENUE,NA,10312,1,0,1,7500,1600,1970,1,A2,0,45510,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,4,NA,A2,260 SHIRLEY AVENUE,NA,10312,1,0,1,7500,1600,1970,1,A2,995000,45622,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,8,NA,A1,254 SHIRLEY AVENUE,NA,10312,1,0,1,7500,3205,1970,1,A1,0,45532,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,35,NA,A2,95 LENZIE STREET,NA,10312,1,0,1,7500,1328,1930,1,A2,0,45582,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,43,NA,A3,111 LENZIE STREET,NA,10312,1,0,1,6200,4280,1998,1,A1,1420000,45603,2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5405,20,NA,A2,1634 ARDEN AVENUE,NA,10312,1,0,1,7500,1424,1960,1,A2,960000,45471,2024
