borough,neighborhood,building_class_category,tax_class_at_present,block,lot,ease_ment,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,7,NA,A5,4732 AMBOY ROAD,NA,10312,1,0,1,3654,910,2002,1,A5,764000,44742,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,4,NA,A1,26 EDWIN STREET,NA,10312,1,0,1,7654,2277,1980,1,A1,1098000,44792,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,32,NA,A1,541 SYCAMORE STREET,NA,10312,1,0,1,13320,4696,1985,1,A1,0,44671,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399,37,NA,A2,255 KOCH BOULEVARD,NA,10312,1,0,1,8190,1528,1970,1,A2,890000,44564,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5402,17,NA,A2,6 WEAVER STREET,NA,10312,1,0,1,10500,2278,1980,1,A2,0,44922,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,36,NA,A1,107 NOEL STREET,NA,10312,1,0,1,5999,3250,1989,1,A1,1050000,44804,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,NA,A1,118 ELMBANK STREET,NA,10312,1,0,1,6200,2580,1975,1,A1,910000,44656,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5408,7,NA,A2,192 BATHGATE STREET,NA,10312,1,0,1,2500,768,1930,1,A2,430000,44697,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,NA,A1,7 SANDGAP STREET,NA,10312,1,0,1,2500,1222,1925,1,A1,0,44704,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,16,NA,A6,14 SANDGAP STREET,NA,10312,1,0,1,2499,612,1915,1,A6,250000,44916,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,63,NA,A5,26 SEGUINE PLACE,NA,10312,1,0,1,2266,1320,1986,1,A5,548888,44721,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,121,NA,A5,32 MAY PLACE,NA,10312,1,0,1,2474,2495,1986,1,A5,760000,44875,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,122,NA,A5,28 MAY PLACE,NA,10312,1,0,1,2474,2495,1986,1,A5,0,44802,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,4,NA,A5,35 EAGAN AVENUE,NA,10312,1,0,1,1508,1521,1986,1,A5,600000,44764,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,23,NA,A5,3 EAGAN AVE,NA,10312,1,0,1,1508,1521,1986,1,A5,0,44823,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,38,NA,A5,94 SEGUINE PLACE,NA,10312,1,0,1,2300,1320,1986,1,A5,565000,44705,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,164,NA,A6,89 JEANETTE AVENUE,NA,10312,1,0,1,4000,816,1960,1,A6,685000,44664,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,170,NA,A1,79 JEANNETTE AVENUE,NA,10312,1,0,1,3999,1152,1935,1,A1,670000,44838,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,33,NA,A5,48 EAGAN AVENUE,NA,10312,1,0,1,2399,1368,2000,1,A5,630000,44922,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6214,52,NA,A2,86 EAGAN AVENUE,NA,10312,1,0,1,9999,1056,1955,1,A2,0,44915,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6216,39,NA,A5,26 EAGAN AVENUE,NA,10312,1,0,1,2332,1515,1992,1,A5,640000,44764,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,10,NA,A5,53 BARB STREET,NA,10312,1,0,1,1585,1339,2004,1,A5,675000,44805,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6220,63,NA,A5,40 ENDVIEW STREET,NA,10312,1,0,1,1648,1344,2003,1,A5,660000,44748,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,6,NA,A5,998 ARDEN AVENUE,NA,10312,1,0,1,3876,1400,2005,1,A5,698000,44643,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,54,NA,A1,11 LORRAINE AVENUE,NA,10312,1,0,1,8000,4011,2000,1,A1,0,44818,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6226,22,NA,A2,744 ANNADALE RD,NA,10312,1,0,1,5640,1024,1925,1,A2,0,44874,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6227,60,NA,A1,924 CARLTON BOULEVARD,NA,10312,1,0,1,4000,1613,1910,1,A1,990000,44698,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,47,NA,A1,760 ARDEN AVENUE,NA,10312,1,0,1,6000,1146,1925,1,A1,635000,44683,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,67,NA,A1,159 DETROIT AVENUE,NA,10312,1,0,1,3999,1584,1940,1,A1,0,44764,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6229,27,NA,A2,149 EDGEGROVE AVENUE,NA,10312,1,0,1,16000,864,1915,1,A2,800000,44621,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,37,NA,A1,624 DRUMGOOLE ROAD EAST,NA,10312,1,0,1,8000,2268,1930,1,A1,933500,44819,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6230,41,NA,A2,614 DRUMGOOLE ROAD E,NA,10312,1,0,1,8000,1379,1960,1,A2,650000,44781,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6232,74,NA,A2,998 DRUMGOOLE ROAD WEST,NA,10312,1,0,1,3600,984,1960,1,A2,450000,44608,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6233,7,NA,A3,295 JEFFERSON BOULEVARD,NA,10312,1,0,1,3999,2300,1990,1,A3,860000,44718,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6236,12,NA,A5,224 STAFFORD AVENUE,NA,10312,1,0,1,3000,1850,2000,1,A5,725000,44637,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237,31,NA,A2,194 VINELAND AVENUE,NA,10312,1,0,1,3999,1952,1970,1,A2,680000,44914,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6237,58,NA,A2,165 STAFFORD AVENUE,NA,10312,1,0,1,3999,1952,1970,1,A2,95900,44854,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6238,1,NA,A2,433 JEFFERSON BOULEVARD,NA,10312,1,0,1,8000,1251,1950,1,A2,0,44635,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6240,79,NA,A1,15 ROGERS PLACE,NA,10312,1,0,1,9990,3392,1980,1,A1,0,44708,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6240,126,NA,A3,8 ROGERS PLACE,NA,10312,1,0,1,10200,6171,1989,1,A3,1590000,44865,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6242,20,NA,A2,36 MOSELY AVENUE,NA,10312,1,0,1,5500,859,1920,1,A2,960000,44811,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6243,55,NA,A1,57 MOSELY AVENUE,NA,10312,1,0,1,5500,1028,1920,1,A1,500000,44911,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,1,NA,A2,4969 AMBOY ROAD,NA,10312,1,0,1,7695,1040,1960,1,A2,830000,44630,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,145,NA,A1,22 HILLIS STREET,NA,10312,1,0,1,4904,2739,1960,1,A1,850000,44904,2022
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,245,NA,A1,19 FURMAN STREET,NA,10312,1,0,1,4000,2224,1970,1,A1,665000,44706,2022
