borough,neighborhood,building_class_category,tax_class_at_present,block,lot,ease_ment,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,9,NA,A5,4726 AMBOY ROAD,NA,10312,1,0,1,3067,910,2002,1,A5,0,44014,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,46,NA,A1,119 LENZIE STREET,NA,10312,1,0,1,8000,3660,1998,1,A1,315000,44106,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5407,6,NA,A1,118 ELMBANK STREET,NA,10312,1,0,1,6200,2580,1975,1,A1,450000,44006,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,31,NA,A1,7 SANDGAP STREET,NA,10312,1,0,1,2500,1222,1925,1,A2,525000,44014,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,17,NA,A5,91 EAGAN AVENUE,NA,10312,1,0,1,1845,1854,1986,1,A5,480000,43844,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,83,NA,A1,7 SEGUINE PLACE,NA,10312,1,0,1,3989,2300,2004,1,A1,720000,44119,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,115,NA,A5,44 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,0,44176,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,124,NA,A5,22 MAY PLACE,NA,10312,1,0,1,2475,2495,1986,1,A5,0,44091,2020
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,145,NA,A5,60 SEGUINE PLACE,NA,10312,1,0,1,1471,1172,1986,1,A5,429000,44154,2020
